comment,question,id
Peaceful protests are key to democracy and require no military response,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,37
Peaceful protests are exactly that - peaceful. We do not need the police/militia inciting violence like a bunch of terrorists.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,38
"There is no need for military intervention in peaceful protests. However, if we expect a repeat of January 6, 2020, the military should be on standby.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,39
I believe military force should only be used when people and property are at risk.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,40
"Peaceful protests are not a threat, to militarize peaceful protests would be a threat to our freedom of speech and our democracy.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,41
Peaceful protests for any cause should never be interferred with by police or military,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,42
I believe peaceful protests shouldn't be restricted in any form.  ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,43
If protests are peaceful there shouldn’t be use of military force. However military should still be present. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,44
"You can have people on standby nearby in case it escalates, but having a military presence for a peaceful protest just escalates it yourself. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,45
Democrat protests are usually more violent in my opinion,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,46
There is no reason to use the military on peaceful protestors. Use the military for serious issues.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,47
Violence is at times necessary for protesting.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,48
Protest is made to protect human rights ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,49
"When protests are peaceful, force does not need to be used",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,50
Americans can and should use their ability to peacefully protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,51
There is no need for the military to be involved with peaceful protests. They have more important things to worry about. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,52
If the protest is indeed peaceful why would there be any need for military involvement? There wouldn't be. If the protest became violent possibly. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,53
There is no need for military force in a peaceful protest or demonstration.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,54
There’s no reason to involve military if it’s peaceful,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,55
I think the military (national guard only) should be involved only if physical altercations or property destruction beyond police control exists.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,56
Protests keep democracy alive and allow the people to speak.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,57
The military should never be used against a country's own people. That's called fascism. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,58
It will be a horror if Harris is elected. We will be doomed.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,59
The Democratic party seems to be out of touch with everyday americans.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,60
there is to be circumstance where voilence can be used against citizen ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,61
I need to feel complacent but cant,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,62
I think if an election is going on and the protests are going smooth and peaceful there should be no use for military intervention,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,63
If it’s peaceful there is zero reason to involve the military. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,64
The right to assembly (and peaceful protest) is constitutionally guaranteed.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,65
Peaceful protests show that people want change and that they respect the government.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,66
"Most protests are peaceful in this country, and most violence stems from police instigation.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,67
I support military force if a protest was to turn violent and or out of control ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,68
i do not think force should be used in a peaceful protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,69
Being able to protest peacefully is part of our civil rights.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,70
protests have been plentiful in the US lately,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,71
"I believe that there is no need to use any force, military or civilian, when there are peaceful protests.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,72
Peaceful protest is a part of our rights. I do not agree with using military force during peaceful protests,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,73
"If a protest is peaceful, there should be presence of some authority but in the background. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,74
"If the protestors are peaceful, there is no need for military force.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,75
Peaceful protests can unite people.   ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,76
I believe peaceful protests are not threatening and should not involve military protection. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,77
I don't think it is right to use military force for peaceful resistance. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,78
"Sometimes even when a protest claims to be peaceful, it takes a turn and a strong police presence is necessary.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,79
fair points made by all but also simple bias,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,80
"We as Americans have the right to protest. However, if it has a strong potential to lead to violence or harm to property, something should be done.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,81
I feel that Americans should have the right to peacefully protest the outcome of an election without worrying about the military getting involved.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,82
The use of military against any civilians peacefully protesting is the exact opposite of what this country was founded on. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,83
Violence in protests is not acceptable. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,84
ig a protest is peaceful then this violates rhe right to peaceful protests,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,85
Use of force should only be in response to violent protests.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,86
"If it is peaceful, why the need for force?",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,87
There's no reason to use force during a peaceful protest!,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,88
I don’t think use of force is justified against peaceful protestors.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,89
Under no circumstances should military force be used during a peaceful protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,90
There is absolutely no reason to use force of any kind against peaceful protestors. It is a right to voice our opinions.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,91
I do not believe the military should be used against civilians in any context.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,92
I believe in peaceful protests,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,93
Demonstrations should always be peaceful. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,94
"Protests can and should be peaceful, therefore there is no need to involve the military.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,95
There is a reason why the military and civilian police are kept separate. The military should never be involved if the protest is peaceful.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,96
"To prevent protests from getting out of control, it is wise to have military present just in case.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,97
"If the protest is peaceful, then I am fully supportive of it.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,98
There is no reason for military force if the protest is peaceful.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,99
I think that force should never be used in peaceful riots under any circumstances,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,100
If the protest is peaceful there is no reason to involve the military. The constitution gives us the right to assembly.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,101
Force is only needed if the crowd causes destruction or harm,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,102
there is no need to interfere at all with peaceful protests,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,103
If the protest is peaceful we should never use unnecessary violence,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,104
Peaceful protests are protected by the constitution.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,105
"The right of peaceful assembly ""to petition the Government for a redress of grievances"" IS the 1st Ammendment!",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,106
Peaceful protests are one of the foundations of our democracy. Military force is not needed at all.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,107
If the protest is peaceful I don’t see why the military needs to intervene. I think them using force actually turns a peaceful protest violent. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,108
"There is no reason for military to intervene in a peaceful protest, it is the American right to protest peacefully.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,109
Peaceful protest should not be enforced by the military,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,110
Peaceful protest is a legal right and military use against it may be too harsh.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,111
The military should never be deployed against american citizens who are peacefully protesting.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,112
Peaceful protest is part of the fabric of the US. Violent protest is another matter and requires a different response.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,113
I believe protests are not ever the answer ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,114
I believe that it is our right as Americans to peacefully protest. Any military intervention on a peaceful protest is unconstitutional.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,115
If protesters are calm there is no need for law enforcement ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,116
Violence is not a valid response to a peaceful protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,117
Peaceful protests are every American's right. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,118
"The army is there in case a peaceful protest becomes not peaceful. Until then a use of arms isn't necessary, but is there for preventative measures.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,119
I'm guessing that the vast majority of people would say that the military should not intervene in any peaceful protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,120
"As Americans, we have the right to make our opinions known in a peaceful manner. It's an important part of the foundation of this country. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,121
"If the protest is peaceful, then there should be no military presence.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,122
The right to peacefully protest is fundamental to being an American citizen. Military force should not be allowed to be used on peaceful protesters,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,123
There should never be military deployed on peaceful protestors as long as they are peaceful.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,124
The first amendment protects our right to peaceful protest. Military has no part in it.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,125
"As long as the protest is peaceful, I do not think the military should get involved.  ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,126
I feel there is never reason to use military against any peaceful protest ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,127
I think all peaceful protests should be monitored but no violence.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,128
"Peaceful protest is a constitutional right. If things are peaceful, then nobody is breaking any laws and there is no need for military force",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,129
"Peaceful protests are a right in a free country, therefore should never involve the military as their purpose is to protect us from foreign enemies.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,130
Peaceful protest allows debate to the topic aside from news feeds ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,131
Peaceful protests are a right and use of the military to quell them should never happen.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,132
A peaceful protest is absolutely encouraged by everything our country stands for. That is not the same as a riot. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,133
Peaceful protests are part of the First Amendment in this country.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,134
"I believe if we have peaceful protests, no reason to involve the military.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,135
Military is for war period.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,136
I believe that no force should be used against peaceful protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,137
Peaceful protests or demonstrations made a HUGE difference for women's rights.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,138
I believe all Americans have the right to peaceful protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,139
Peaceful protest are acceptable unless they stop being peaceful.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,140
at any cost there should be no force used on the citizens of our country,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,141
"If the protest is peaceful, there should be no military present.  If there is a projected or real danger, the military should be on standby as needed.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,142
If a protest is truly peaceful there is no need for intervention at all.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,143
"I think that there should be able to be a peaceful protest, but peaceful protest doesn’t even exist when it comes to the extent of the next president.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,144
"If the protest is peaceful, there should be no violence.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,145
Peaceful protests are an effective and safe way to convey messages to the government ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,146
The Lord is in control always,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,147
There need to be more reasons to united to make this country great again.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,148
I an against violence on  innocent individuals during a peaceful protest,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,149
The country that we love is made from both peaceful and non-peaceful protests.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,150
Peaceful protests shouldn't be countered with violence/force from the military.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,151
It was hard to decide on round 1,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,152
"So long as protests remain peaceful (nobody is harmed, no destruction of property, etc.) then the right to free speech should not be interfered with.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,153
Peaceful protests are an important part of our democracy. But we must not confuse that with protests to obstruct necessary official actions.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,154
I do not believe there should be a need for military action in lieu of a peaceful protest. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,155
Under no circumstances should military power be used against peaceful protesters. It is our right.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,156
"If the protesters are blocking a freeway during 5pm traffic, I’m for it. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,157
Peaceful and military don’t go well together. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,158
Peaceful protest is fundamental to our country and part of our right to free speech. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,159
The 1st amendment protects our freedom of speech; peaceful protest is a part of the protected speech.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,160
I believe military or police should be present to peacefully crowd control and force should not come into play unless peaceful turns to violence. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,161
Protests should be always peaceful so that the military wont be called,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,162
"Only when a peaceful protest turns violent, should any type of authority step in.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,163
Violence is not the answer.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,164
It's an American fundamental right to be able to protest peacefully. There is no reason to involve the military if the protests don't get out of hand.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,165
If protests are peaceful there is no need for military to intervene ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,166
A peaceful protest is by definition peaceful. There is no need for military as it is peaceful and there is a right for peaceful protest. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,167
"Peaceful protests are fine, it is only a problem if it turns violent.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,168
I believe that if the protest is peaceful than there is no reason for anyone to step in. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,169
The military should not be necessary to control a peaceful protest.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,170
"Peaceful protests are important to let voices be heard, peaceful being a very key word.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,171
"A peaceful protest that gets out of hand but stays nonviolent, can be easily dealt with by the police.  No need to involve the military.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,172
Being able to peacefully protest is essential to our democracy. Military force should never be used against peaceful protesters. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,173
I think peaceful protests are part of america and is acceptable. i think military force should not be used unless it becomes violent,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,174
Americans have a right to protest peacefully.  The military should not be involved unless it is protecting the protesters.  ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,175
"I believe if the protest is peaceful, it is okay.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,176
"as long as they dont try to start a civil war, they shouldnt be used against the protesters",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,177
Military force is clearly not a proportionate response to a protest that is entirely peaceful and non-violent.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,178
Peaceful protests are part of the fabric of America.  There is no reason to use force on peaceful protesters.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,179
Peaceful protests are guaranteed by the first amendment in our constitution. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,180
Peaceful protests are called Peaceful protests for a reason. There is no reason to get the military involved at these. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,181
"If the protest is peaceful, I do not think that military force is needed. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,182
"They are protesting peacefully, there is no reason that the military should be called up.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,183
There is no reason to use the military when talking about protesting. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,184
"Peaceful protests, freedom of speech, democracy - things the military should protect not prevent ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,185
I am in full support of any peaceful protest that does not hinder anyone else; I am fully against any sort of protest that harms others or property.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,186
"A peaceful protest is exactly how it sounds, peacefully protesting for or against the presidential outcome.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,187
Peaceful protesting should not require military force if it is truly peaceful. Americans should be allowed to peacefully protest without fear.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,188
We should not use violence ever,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,189
"Peaceful protests are just that, peaceful.  Unless they infringe on others in which point they are no longer peaceful.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,190
I believe that most protest are peaceful and do not lead to negative experience.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,191
"Protest should always be allowed, especially since it specifies peaceful in the prompt it shouldn't be a question.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,192
I don't agree with military being called for peaceful protests. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,193
If the protest is peaceful no force should be needed.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,194
Peaceful protests are important to our democracy as they draw attention to matters that are important to group of American citizens. No violence!,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,195
"As long as the protest is peaceful, then the use of force is unnecessary ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,196
Military should not interfere with protesters ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,197
We should avoid military force against citizens at all cost. There is especially no need for any kind of force if the protest is peaceful.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,198
"If it is in fact a peaceful protest, then there's really no need for military involvement. That being said, if there's a repeat of last election, then",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,199
People will be fearful to express their first amendment rights if there is the threat of military intervention.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,200
I believe peaceful protests do not have to involve the military,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,201
Peaceful protests are using our freedom to have free speech. Protests are an important part of democracy.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,202
Peaceful protest is legal in the US and many gains have been made due to peaceful protests in the past.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,203
"I feel it is not the role of the military to police it's citizens, I am against it.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,204
A peaceful protest does not require any intervention by military or law enforcement. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,205
"If the protest is peaceful, there is no need for the military to be involved.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,206
If a protest is rather peaceful there is no need of extreme military force.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,207
"Peaceful protest is our right as American citizens but when protestors go overboard, the millitary should control the situation",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,208
There should not be any military force unless it is forced on us,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,209
Peaceful protesting a constitutional right. Under no circumstances is military force appropriate or permitted against civilians ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,210
I am ok with it if they start rioting ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,211
peaceful protest doesn't use military force,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,212
Peaceful protest is a right of Americans and there should not be military involvement with no violence.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,213
I believe in policing protests,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,214
If a protest is peaceful then there should be no need for military action. The presence of law enforcement should be sufficient.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,215
Peaceful protests are not a threat. Force should only be used when theres a threat. This is America.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,216
Protesting is freedom of speech which shouldn't be censored or controlled,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,217
"Peaceful protest is a right we have to protect and use when necessary.  As long as it doesn't become violent or dangerous, there's no need for militar",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,218
"peaceful protests do not need military involvement at all. It's different however, if the peaceful protests become violent, that's another story.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,219
Protests can be very disruptive to the lives of others while being peaceful and protesters might need to be forcibly removed.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,220
Im not sure what to put sorry!,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,221
"If the protest is peaceful, we have the right to peacefully protest and the military should not be brought in,",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,222
"Peaceful protest is a Constitutionally protected right, there should be no use of force of any kind against the protestors.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,223
"The military isn’t needed during a peaceful protest, there presence alone turns things from peaceful to violent for no reason.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,224
I believe all of our citizens should have the right to peacefully protest anything.,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,225
"Peaceful prayers allow people to express their first amendment right, unless the protest gets violent or destructive than force shouldn't be needed. ",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,226
"Peaceful assembly is a right in our United States. But I think the line should be drawn at even ""peaceful"" harm, as in blocking all road access.",Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,227
I really don’t have a strong opinion on the topic,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,228
The right to peacefully protest should not be infringed upon or shut down by military ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,229
Peaceful protest is the right of every citizen ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,230
At no point should force be used against peaceful protesters. They have the right to protest peacefully without intimidation or interference. ,Do you support the use of military force against civilians if there are peaceful protests when the next president takes office?,231
